,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,crdy,fls,fld,crs,int,tklw,team
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,no Norway,,,63.0,29214.0,Álvaro Morata,4-3-3,Benoît Bastien,Match Report,,13.0,7.0,0.0,8.0,13.0,17.0,8.0,10.0,spain
1,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0.0,2.0,sct Scotland,,,75.0,47976.0,Rodri,4-3-3,Sandro Schärer,Match Report,,8.0,3.0,2.0,15.0,13.0,30.0,4.0,5.0,spain
2,2023-09-08,20:00,UEFA Euro Qualifying,Group stage,Fri,Away,W,7.0,1.0,ge Georgia,,,72.0,51694.0,Álvaro Morata,4-3-3,Daniel Siebert,Match Report,,33.0,12.0,2.0,5.0,10.0,17.0,5.0,9.0,spain
3,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,6.0,0.0,cy Cyprus,,,81.0,17311.0,Álvaro Morata,4-3-3,Simone Sozza,Match Report,,28.0,12.0,1.0,6.0,3.0,41.0,5.0,8.0,spain
4,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,2.0,0.0,sct Scotland,,,74.0,45623.0,Álvaro Morata,4-3-3,Serdar Gözübüyük,Match Report,,18.0,5.0,4.0,15.0,8.0,31.0,0.0,3.0,spain
5,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,1.0,0.0,no Norway,,,67.0,25885.0,Álvaro Morata,4-3-3,Tobias Stieler,Match Report,,13.0,2.0,4.0,9.0,11.0,15.0,5.0,5.0,spain
6,2023-11-16,19:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,3.0,1.0,cy Cyprus,,,77.0,9667.0,Jesús Navas,4-3-3,Mykola Balakin,Match Report,,14.0,5.0,1.0,11.0,9.0,25.0,6.0,10.0,spain
7,2023-11-19,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,W,3.0,1.0,ge Georgia,,,76.0,24146.0,Álvaro Morata,4-3-3,Ovidiu Hațegan,Match Report,,20.0,9.0,2.0,9.0,9.0,28.0,3.0,9.0,spain
8,2024-03-22,20:30,Friendlies (M),Friendlies (M),Fri,Neutral,L,0.0,1.0,co Colombia,,,,43267.0,Mikel Oyarzabal,4-2-3-1,Michael Oliver,Match Report,,,,0.0,,,,,,spain
9,2024-03-26,21:30,Friendlies (M),Friendlies (M),Tue,Home,D,3.0,3.0,br Brazil,,,,,Álvaro Morata,4-2-3-1,António Nobre,Match Report,,,,3.0,,,,,,spain
10,2024-06-05,21:30,Friendlies (M),Friendlies (M),Wed,Home,W,5.0,0.0,ad Andorra,,,,14300.0,Álvaro Morata,4-1-4-1,Gustavo Correia,Match Report,,,,0.0,,,,,,spain
11,2024-06-08,21:30,Friendlies (M),Friendlies (M),Sat,Home,W,5.0,1.0,nir Northern Ireland,,,,19200.0,Álvaro Morata,4-1-4-1,Bastien Dechepy,Match Report,,,,1.0,,,,,,spain
12,2024-06-15,18:00,UEFA Euro,Group stage,Sat,Home,W,3.0,0.0,hr Croatia,2.0,2.1,46.0,68844.0,Álvaro Morata,4-3-3,Michael Oliver,Match Report,,11.0,5.0,1.0,14.0,11.0,9.0,5.0,10.0,spain
13,2024-06-20,21:00,UEFA Euro,Group stage,Thu,Home,,,,it Italy,,,,,,,,Head-to-Head,,,,,,,,,,spain
14,2024-06-24,21:00,UEFA Euro,Group stage,Mon,Away,,,,al Albania,,,,,,,,Head-to-Head,,,,,,,,,,spain
0,2023-03-25,14:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,3.0,0.0,cy Cyprus,,,62.0,48195.0,Andrew Robertson,3-4-3,Duje Strukan,Match Report,,11.0,6.0,2.0,17.0,12.0,29.0,8.0,8.0,scotland
1,2023-03-28,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,es Spain,,,25.0,47976.0,Andrew Robertson,3-4-3,Sandro Schärer,Match Report,,9.0,3.0,4.0,13.0,14.0,11.0,6.0,6.0,scotland
2,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2.0,1.0,no Norway,,,41.0,25791.0,Andrew Robertson,3-4-3,Matej Jug,Match Report,,5.0,3.0,4.0,12.0,9.0,9.0,10.0,4.0,scotland
3,2023-06-20,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,0.0,ge Georgia,,,51.0,50062.0,Andrew Robertson,5-3-2,István Vad II,Match Report,,14.0,3.0,2.0,12.0,7.0,16.0,6.0,14.0,scotland
4,2023-09-08,21:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,0.0,cy Cyprus,,,57.0,6633.0,Andrew Robertson,3-4-3,Balázs Berke,Match Report,,14.0,4.0,0.0,11.0,12.0,13.0,6.0,9.0,scotland
5,2023-10-12,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,L,0.0,2.0,es Spain,,,26.0,45623.0,Andrew Robertson,5-4-1,Serdar Gözübüyük,Match Report,,4.0,1.0,3.0,8.0,15.0,8.0,12.0,7.0,scotland
6,2023-11-16,21:00,UEFA Euro Qualifying,Group stage,Thu,Away,D,2.0,2.0,ge Georgia,,,64.0,44595.0,John McGinn,4-3-3,Aleksandar Stavrev,Match Report,,16.0,5.0,3.0,15.0,17.0,24.0,4.0,12.0,scotland
7,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,3.0,3.0,no Norway,,,50.0,48138.0,John McGinn,4-2-3-1,Horațiu Fesnic,Match Report,,9.0,2.0,1.0,14.0,19.0,21.0,5.0,8.0,scotland
8,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Away,L,0.0,4.0,nl Netherlands,,,,46223.0,Andrew Robertson,3-4-3,Erik Lambrechts,Match Report,,,,2.0,,,,,,scotland
9,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,L,0.0,1.0,nir Northern Ireland,,,,,Andrew Robertson,3-4-3,Robert Jones,Match Report,,,,1.0,,,,,,scotland
10,2024-06-03,18:00,Friendlies (M),Friendlies (M),Mon,Neutral,W,2.0,0.0,gi Gibraltar,,,,,Andrew Robertson,4-2-3-1,Jamie Robinson,Match Report,,,,0.0,,,,,,scotland
11,2024-06-07,19:45,Friendlies (M),Friendlies (M),Fri,Home,D,2.0,2.0,fi Finland,,,,40159.0,Andrew Robertson,3-4-3,Łukasz Kuźma,Match Report,,,,1.0,,,,,,scotland
12,2024-06-14,21:00,UEFA Euro,Group stage,Fri,Away,L,1.0,5.0,de Germany,0.0,2.1,28.0,65052.0,Andrew Robertson,5-4-1,Clément Turpin,Match Report,,1.0,0.0,1.0,9.0,14.0,8.0,6.0,8.0,scotland
13,2024-06-19,21:00,UEFA Euro,Group stage,Wed,Home,D,1.0,1.0,ch Switzerland,0.8,0.9,48.0,42711.0,Andrew Robertson,3-4-1-2,Ivan Kružliak,Match Report,,12.0,3.0,3.0,11.0,11.0,23.0,2.0,5.0,scotland
14,2024-06-23,21:00,UEFA Euro,Group stage,Sun,Home,,,,hu Hungary,,,,,,,,Head-to-Head,,,,,,,,,,scotland
0,2023-03-25,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,3,es Spain,,,37.0,29214.0,Martin Ødegaard,4-1-4-1,Benoît Bastien,Match Report,,6.0,2.0,2.0,13.0,8.0,13.0,4.0,9.0,norway
1,2023-03-28,20:00,UEFA Euro Qualifying,Group stage,Tue,Away,D,1,1,ge Georgia,,,66.0,20300.0,Martin Ødegaard,4-3-3,Andris Treimanis,Match Report,,17.0,6.0,2.0,7.0,6.0,9.0,11.0,15.0,norway
2,2023-06-17,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,L,1,2,sct Scotland,,,59.0,25791.0,Martin Ødegaard,4-3-3,Matej Jug,Match Report,,9.0,3.0,0.0,9.0,12.0,13.0,1.0,5.0,norway
3,2023-06-20,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3,1,cy Cyprus,,,66.0,23643.0,Martin Ødegaard,4-3-3,Aleksandar Stavrev,Match Report,,17.0,7.0,2.0,11.0,7.0,23.0,4.0,8.0,norway
4,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,1,ge Georgia,,,62.0,23665.0,Martin Ødegaard,4-3-3,Nikola Dabanović,Match Report,,17.0,4.0,0.0,5.0,5.0,21.0,14.0,14.0,norway
5,2023-10-12,21:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,4,0,cy Cyprus,,,73.0,7206.0,Martin Ødegaard,4-3-3,Donatas Rumšas,Match Report,,22.0,9.0,0.0,9.0,3.0,29.0,4.0,6.0,norway
6,2023-10-15,20:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,0,1,es Spain,,,33.0,25885.0,Martin Ødegaard,4-2-3-1,Tobias Stieler,Match Report,,5.0,2.0,2.0,11.0,8.0,14.0,5.0,9.0,norway
7,2023-11-19,19:45,UEFA Euro Qualifying,Group stage,Sun,Away,D,3,3,sct Scotland,,,50.0,48138.0,Sander Berge,4-3-3,Horațiu Fesnic,Match Report,,13.0,7.0,3.0,20.0,14.0,18.0,8.0,8.0,norway
